Ref,Val,Package,PosX,PosY,Rot,Side
"ARDUINO_NANO1","","ARDUINO_NANO",155.765600,-100.866100,90.000000,top
"C1","100nF","1206",133.540600,-131.346100,90.000000,top
"C2","100nF","1206",161.480600,-131.346100,90.000000,top
"C3","100nF","1206",127.825600,-105.311100,0.000000,top
"C4","100nF","1206",155.765600,-96.421100,180.000000,top
"C5","100nF","1206",106.870600,-72.926100,90.000000,top
"C6","100nF","1206",148.145600,-82.451100,0.000000,top
"C7","100nF","1206",122.745600,-81.181100,0.000000,top
"C8","100nF","1206",164.020600,-76.736100,90.000000,top
"C9","100nF","1206",171.005600,-104.041100,180.000000,top
"H1","MOUNT-HOLE4.1","4,1",139.255600,-85.626100,0.000000,top
"H2","MOUNT-HOLE4.1","4,1",139.255600,-122.456100,0.000000,top
"IC1","74HC165D","SO16",127.825600,-117.376100,-90.000000,top
"IC2","74HC165D","SO16",127.825600,-94.516100,-90.000000,top
"IC3","74HC165D","SO16",120.205600,-74.196100,0.000000,top
"IC4","74HC165D","SO16",146.875600,-74.196100,0.000000,top
"IC5","74HC165D","SO16",171.005600,-90.706100,90.000000,top
"IC7","74HC165D","SO16",171.005600,-116.106100,90.000000,top
"IC8","74HC165D","SO16",176.085600,-132.616100,0.000000,top
"IC9","74HC165D","SO16",148.145600,-132.616100,0.000000,top
"IC10","74HC165D","SO16",120.205600,-132.616100,0.000000,top
"IC11","MAX485","SO08",172.275600,-76.736100,0.000000,top
"L1","STATUS","LED-0603",181.165600,-76.736100,0.000000,top
"L2","Vcc","LED-0603",177.355600,-76.736100,0.000000,top
"R1","10k","RESISTORARRAY-0603",117.665600,-123.726100,-90.000000,top
"R2","10k","RESISTORARRAY-0603",117.665600,-112.296100,-90.000000,top
"R3","10k","RESISTORARRAY-0603",117.665600,-99.596100,-90.000000,top
"R4","10k","RESISTORARRAY-0603",117.665600,-88.166100,-90.000000,top
"R5","10k","RESISTORARRAY-0603",111.315600,-72.926100,0.000000,top
"R6","10k","RESISTORARRAY-0603",130.365600,-72.926100,0.000000,top
"R7","10k","RESISTORARRAY-0603",155.765600,-72.926100,180.000000,top
